MAKE,WEBSITE,PARENT COMPANY
Acura,https://www.acura.com/,Honda Motor Company
Audi,https://www.audi.com/en.html,Volkswagen Group
BMW,https://www.bmw.com/en/index.html,BMW Group
Buick,https://www.buick.com/,General Motors
Cadillac,https://www.cadillac.com/,General Motors
Chevrolet,https://www.chevrolet.com/,General Motors
Chrysler,https://www.chrysler.com/,Fiat Chrysler Automobiles
Dodge,https://www.dodge.com/,Fiat Chrysler Automobiles
Ford,https://www.ford.com/,Ford Motor Company
GMC,https://www.gmc.com/,General Motors
Honda,https://www.honda.com/,Honda Motor Company
Hummer,https://www.gm.com/,General Motors
Hyundai,https://www.hyundai.com/worldwide/en,Hyundai Motor Group
Infiniti,https://www.infiniti.com/vehicles.html,Renault-Nissan-Mitsubishi Alliance
Isuzu,https://www.isuzu.co.jp/world/,General Motors
Jaguar,https://www.jaguar.com/market-selector.html,Tata Motors
Jeep,https://www.jeep.com/,Fiat Chrysler Automobiles
Kia,https://www.kia.com/worldwide/main.do,Hyundai Motor Group
Land Rover,https://www.landrover.com/market-selector/index.html,Tata Motors
Lexus,https://www.lexus.com/,Toyota Motor Corporation
Lincoln,https://www.lincoln.com/,Ford Motor Company
Mazda,https://www.mazda.com/,Mazda Motor Corporation
Mercedes-Benz,https://www.mercedes-benz.com/en/,Daimler AG
Mercury,http://www.mercuryvehicles.com/,Ford Motor Company
MINI,https://www.mini.com/en_MS/home.html,BMW Group
Mitsubishi,https://www.mitsubishicars.com/,Renault-Nissan-Mitsubishi Alliance
Nissan,https://www.nissan-global.com/EN/index.html,Renault-Nissan-Mitsubishi Alliance
Oldsmobile,https://www.gm.com/,General Motors
Pontiac,https://www.gm.com/,General Motors
Porsche,https://www.volkswagenag.com/en/brands-and-models/porsche.html,Volkswagen Group
Saab,https://www.saab.com/,Saab AB
Scion,https://www.toyota.com/scion/,Toyota Motor Corporation
Subaru,https://www.subaru.com/index.html,Subaru Corporation
Suzuki,https://www.suzuki.com/,Suzuki Motor Corporation
Toyota,https://global.toyota/en/,Toyota Motor Corporation
Volkswagen,https://www.vw.com/,Volkswagen Group
Volvo,https://www.volvo.com/home.html,Zhejiang Geely Holding Group
